Latitude,Longitude,Restock,Color,Advertiser Color,Advertiser,Name,Category,Address,City,State,Zipcode,Contact Name,Contact Phone,Has Rack,Total Quantity to Deliver,Initial Delivery,Restock Quantity (6 x),Delivered to Date,Quantity Returned,Number of Deliveries,hourly,Driver,Notes,Stop #
36.601776,-121.89394,n,,,,Adventures by the Sea,other,210 Portola Plaza,Monterey,CA,,,,,40,40,,12/8/2014,,,,Bill,,
36.611229,-121.897868,n,,,,Adventures by the Sea,other,299 Cannery Row,Monterey,CA,,,,,40,40,,12/8/2014,,,,Bill,,
36.615737,-121.900162,n,,,,Adventures by the Sea,other,685 Cannery Row #210,Monterey,CA,,,,,40,40,,12/8/2014,,,,Bill,,
36.625553,-121.917077,n,,,,Adventures by the Sea,other,Breakwater Cove,Monterey,CA,,,,,40,40,,12/8/2014,,,,Bill,,
36.979856,-122.009729,y,red,blue,y,Akira Sushi,eating,1222 Soquel Ave,Santa Cruz,,,Greyson / Dustin,,,160,40,20,80,,2,,Nelson ,,11
36.96275,-121.987972,y,red,blue,y,Aloha Island Grill,eating,1700 Portola Dr,Santa Cruz,CA,,Numa,,,160,40,20,60,,,,Nelson ,,7
36.976784,-121.899657,n,,,y,Aptos Barbeque,,8059 Aptos Street,Aptos,CA,,Larry,,,40,40,,12/6/2014,,,,Bill,,
36.979426,-121.911781,n,silver,silver,,Aptos Chamber and Visitor's Center,other,7605 Old Dominion Ct,Aptos,CA,95003,Karen,,,40,40,,12/6/2014,,,,Bill,President Karen,
36.989243,-121.927704,n,silver,silver,,Assoc. of Realtors SC,other,2525 S Main St,Soquel,CA,95073,Andrea,,,25,25,,12/6/2014,,,,Bill,,
36.976376,-121.969822,y,red,blue,y,Bay Federal,bank,3333 Clares St,Capitola,CA,,Tina Musgrave,,,160,40,20,40,,,,Nelson ,,1.75
36.981832,-122.029225,n,blue,blue,y,Bay Federal,bank,420 River St,Santa Cruz,CA,,Tina Musgrave,,,40,40,,,,,,Mick,,
37.047085,-122.031499,n,blue,blue,y,Bay Federal,bank,255 Mt Hermon Rd,Scotts Valley,CA,95066,Tina Musgrave,,,40,40,,,,,,Mick,,
36.977254,-122.01568,n,blue,blue,y,Bay Photo,other,715 Soquel Ave,Santa Cruz,CA,95060,Christie,,,40,40,,20,,,,Mick,,
36.962757,-122.023522,n,silver,silver,,Beach Inn & Suites,lodging,125 Beach St,Santa Cruz,CA,,,,,40,40,,,,,,CPL,,
36.976359,-121.905888,n,blue,blue,y,Beach Nest Rentals,lodging,7960 Soquel Dr #225,Santa Cruz,CA,,John,722-0888,,40,40,,no,,,,Mick,Deliver to ChillOut Cafe on 41st,
36.983644,-121.956627,y,red,blue,y,Beer Thirty,beer,2400 Porter St,Soquel,CA,,Olive,,y,102,42,10,12/5/2014,,1,,Bill,,
36.964149,-121.992179,n,silver,silver,,Bella Notte Hotel,lodging,21305 E Cliff Dr,Santa Cruz,CA,,,,,40,40,,,,,,CPL,,
36.971169,-121.964967,n,silver,silver,,Best Western Capitola by the Sea,lodging,1435 41st Ave,Capitola,CA,,,,y,80,80,,40,,,,Mick,,
36.979421,-121.911892,n,blue,blue,y,Best Western/Seacliff Inn,lodging,7500 Old Dominion Ct,Aptos,CA,95003,Jason ,,,360,360,,12/6/2014,,,,Bill,,
36.974867,-121.888187,,,,,Bittersweet Bistro Cafe,eating,787 Rio Del Mar Boulevard,Aptos,CA,,,,,,,,,,,,Bill,,
36.97559,-122.026529,y,red,silver,,Bookshop Santa Cruz,other,1520 Pacific Ave,Santa Cruz,CA,,,,,160,40,20,,,,,Nelson ,,20
36.966814,-122.04031,n,blue,blue,y,Burger,eating,1520 Mission St,Santa Cruz,,,Michelle King,,,54,54,,,,,,CPL,,
36.977862,-121.906332,n,blue,blue,y,Burger,food,7941 Soquel Dr,Aptos,,,Michelle King,,,42,42,,12/6/2014,,,,Bill,,
36.988706,-121.925384,n,blue,blue,y,Cabrillo College,other,6500 Soquel Dr,Aptos,CA,95003,Kristin Fabos,,,80,40,,12/6/2014,,,,Bill,,
36.989328,-121.925588,n,blue,blue,y,Cabrillo College Cafeteria,eating,6500 Soquel,Aptos,CA,,,,,166,20,,12/6/2014,,,,Bill,,
36.984907,-121.965099,n,blue,blue,y,Cafe Cruz,eating,2621 41st Ave,Capitola,CA,95073,Nikki Howe,476-3801,,40,40,,,,,,Mick,,
36.975354,-122.025177,n,blue,blue,y,Cafe Mare,eating,740 Front St #100,Santa Cruz,CA,95060,Andrea (male) and JP,,,40,40,,,,,,Mick,owners JP and Andrea(male),
37.047236,-122.026914,n,silver,silver,,Cali Style,art,222 Mt Hermon Rd,Scotts Valley,CA,,Flynn,,,40,40,,,,,,Mick,"not open will return , owner Flynn Post",
36.937898,-121.776459,n,silver,silver,,California Grill,eating,1970 Freedom Blvd,Watsonville,CA,,,,,160,40,,12/6/2014,,,,Bill,,
36.96491,-121.964832,n,blue,blue,y,Canton Chinese Restaurant,eating,900 41st Ave,Santa Cruz,CA,95060,Miranda,,,40,40,,20,,,,Mick,,
36.979989,-121.952694,n,,,,Capitola Chamber of Commerce,,716 Capitola Avenue,Capitola,CA,,,,,20,20,,12/6/2014,,,,Bill,,
36.983794,-121.956843,y,red,silver,,Carpos,eating,2400 Porter St,Soquel,CA,,,,y,160,40,20,12/5/2014,,1,,Bill,,
36.96335,-122.022073,n,silver,silver,,Casa Blanca Inn,lodging,101 Main St,Santa Cruz,CA,,,,,40,40,,,,,,CPL,,
36.998918,-121.984638,n,blue,blue,y,Chaminade,lodging,1 Chaminade Ln,Santa Cruz,,,Jeff Livingston,465-3405,,300,300,,320,,,,Mick,,
36.979794,-122.010833,y,,,y,Charlie Hong Kongs,,1141 Soquel Avenue,Santa Cruz,CA,,Carolyn,,,220,100,20,120,,,,Nelson ,,13
36.9644,-121.9647,y,red,blue,y,Chill Out Cafe,eating,860 41st Ave,Santa Cruz,CA,,John,,,160,40,20,40,,,,Nelson ,"Would not store extra copies/space considerations, owner John",3
36.918229,-121.781381,n,blue,blue,y,Cilantros,eating,1934 Main St,Watsonville,CA,,Johann and Jose,,,160,20,,12/6/2014,,,,Bill,Owners Johann and Jose,
37.046316,-122.031826,,,,,Coffee Cat,coffee,255 Mount Hermon Road,Scotts Valley,CA,,,,,,,,,,,,Mick,,
36.963495,-121.968287,,,,,Coffetopia,coffee,3701 Portola,Santa Cruz,CA,95062,,,,,,,,,,,,,
36.976507,-121.984796,y,red,silver,,Coffetopia,coffee,1443 Capitola Rd,Santa Cruz,CA,95062,,,,280,40,40,80,,2,,Nelson ,,6
37.15507,-122.348401,n,silver,silver,,Costanoa,lodging,2001 Rossi Rd,Pescadero,CA,,,,,80,80,,,,,,SCWaves,Some stops outside county delivered in house or yet to be figured out,
36.981065,-122.015815,n,silver,silver,,CoveWater,surf,726 Water St,Santa Cruz,CA,,,,,40,40,,20,,,,Mick,,
37.490807,-122.451887,n,silver,silver,,Cowboy Surf Shop,surf,2830 Cabrillo Hwy N,Half Moon Bay,CA,,,,,40,40,,,,,,SCWaves,Some stops outside county delivered in house or yet to be figured out,
36.981725,-122.014161,y,red,silver,,D J mini Market,,,Santa Cruz,,,,,,160,40,20,60,,,,Nelson ,,15
36.967679,-122.007806,y,red,silver,,Days Market,,526 Seabright Ave,Santa Cruz,CA,95062,,,,160,40,20,80,,,,Nelson ,,10
36.996985,-121.999735,n,blue,blue,y,De La Veaga Golf,other,401 Upper Park Rd,Santa Cruz,,,,,,42,42,,,,,y,CPL,,
36.965737,-121.998271,n,blue,blue,y,Dekes,food,334 7th Ave,Santa Cruz,CA,95062,,,,27,27,,20,,,,CPL,,
36.974034,-121.888357,y,red,blue,y,Deluxe Foods,food,783 Rio Del Mar Blvd #25,Aptos,CA,,Marc Monte,,,162,42,20,12/6/2014,,1,,Bill,,
36.961846,-122.025288,n,silver,silver,,Dream Inn,lodging,175 W Cliff Dr,Santa Cruz,CA,,Max Shultz,,y,240,240,,40,,,,CPL,,
36.963454,-121.964968,y,red,blue,y,Eastside Eatery,eating,800 41st Ave,Capitola,CA,,Selina,,y,160,40,20,40,,,,Nelson ,,5
36.964507,-122.02373,n,silver,silver,,Edgewater Beach Motel,lodging,525 2nd St,Santa Cruz,CA,,,,,40,40,,,,,,CPL,,
36.973889,-122.025974,n,blue,blue,y,El Palomar,eating,1336 Pacific Ave,Santa Cruz,CA,,Derek,247-5342,,40,40,,,,,,Mick,owners Johann and Jose,
36.982244,-122.022111,n,silver,silver,,Finn's Cafe,coffee,1104 Ocean St,Santa Cruz,CA,,,,,40,40,,20,,,,Mick,Left copies for owners approval,
36.959323,-122.01902,,,,,Fire Fish,,25 Municipal Wharf,Santa Cruz,CA,,Mark Gilbert,,,,,,,,,,,,
36.952134,-121.876889,n,silver,silver,,Full  of Beans,coffee,10 Seascape Blvd,Aptos,CA,,Jim,,,40,40,,12/6/2014,,,,Bill,owner Jim,
36.977979,-121.952403,y,red,blue,y,Gayles Bakery,bakery,504 Bay Ave,Capitola,CA,,,,,280,40,40,40,,1,,Bill,,
36.914393,-121.783403,n,silver,silver,,Golds Gym,gym,120 Westridge Dr,Watsonville,CA,,,,,40,40,,,,,,Mick,,
36.982011,-121.910666,y,,,,Heather's,eating,7486 Soquel Drive,Aptos,CA,,,,,160,40,20,12/6/2014,,,,Bill,,
37.036228,-122.024667,n,blue,blue,y,Hilton,lodging,6001 La Madrona Dr,Scotts Valley,CA,,,,,80,80,,,,,,Mick,,
36.976803,-122.019934,n,blue,blue,y,Hotel Paradox ,lodging,611 Ocean St,Santa Cruz,CA,,Lars,,,280,280,,280,,,,Mick,left one box too many,
36.971485,-122.026231,n,blue,blue,y,Hula's Island Grill,eating,221 Cathcart St,Santa Cruz,CA,95060,Rita,,,40,40,,10,,,,Mick,Promotional delivery only,
37.165228,-122.360136,n,silver,silver,,HWY 1 Brewery,beer,5720 Cabrillo Hwy,Pescadero,CA,,,,,40,40,,,,,,SCWaves,Some stops outside county delivered in house or yet to be figured out,
36.962838,-122.023307,,,,,Ideal Coffee Shop,coffee,106 Beach St,Santa Cruz,CA,95062,Josh Parmalee,423-5271,,160,40,20,40,,,,Nelson ,,
36.975179,-121.95037,n,silver,silver,,Inn at Depot Hill,lodging,250 Monterey Ave,Capitola,CA,,,,,40,40,,,,,,Bill,,
36.983388,-122.029129,n,,,,Java Junction,,580 River Street,Santa Cruz,CA,,,,,40,,,,,,,Mick,,
37.061295,-122.006302,n,,,,Jia Tellas,,18 Victor Square,Scotts Valley,CA,,Jason,,,20,20,,,,,,Mick,,
36.967143,-122.001981,y,red,blue,y,Johnny's Harborside Restaurant,eating,,Santa Cruz,,,Shannon,,,160,40,20,60,,,,Nelson ,,9
36.976596,-121.903177,n,blue,blue,y,Kauboi,eating,8017 Soquel Dr,Aptos,CA,95003,Michelle King,,,40,40,,,,,,Bill,,
36.966649,-122.000955,n,blue,blue,y,Kayak Connection,sport ,413 Lake Ave,Santa Cruz ,CA,95062,Dave Grigsby,479-1121 ,no,54,54,,,,,,CPL,dave would like a rack,
36.966691,-122.000945,n,blue,blue,y,Kayak Connection,sport ,413 Lake Street,Moss Landing,CA,95062,,,,40,40,,12/6/2014,,,,Bill,,
36.968299,-122.007887,,,,,Linda's Seabreeze Cafe,dining,542 Seabright Avenue,Santa Cruz,CA,,,,,,,,,,,,Mick,,
37.046238,-122.029068,,,,,Los Gallos,eating,243 Mount Hermon Road,Scotts Valley,CA,,,,,,,,,,,,Mick,,
36.989613,-121.955034,n,blue,blue,y,Main Street Garden & Cafe,,3101 N Main St,Soquel,,,Mauro,,,40,40,,12/5/2014,,,,Bill,,
37.045748,-122.020873,n,silver,silver,,Malones Grill,eating,4402 Scotts Valley Dr,Scotts Valley,CA,,,,,40,40,,,,,,Mick,,
36.974311,-121.911786,,,,,Manuels,eating,261 Center Avenue,Aptos,CA,,,,,,,,,,,,Bill,,
36.969636,-121.964971,n,silver,silver,,Mariott Hotel,lodging,1255 41st Ave,Capitola,CA,,Derick ,,,240,240,,,,,,Mick,"Asked for only one box, policy against putting publications in the rooms",
36.979067,-121.964696,n,,,,Master Carwash,,2110 41st Avenue,Capitola,CA,,,,,40,40,,,,,,Mick,,
37.503598,-122.48279,n,silver,silver,,Mavericks Surf Shop,surf,25 Johnson Pier,Half Moon Bay,CA,,,,,40,40,,,,,,SCWaves,,
36.972417,-121.951592,y,red,blue,y,Mercantile Coffee Shop,coffee,115 San Jose Ave,Capitola,CA,,Kim and Steve,,,160,40,20,20,,1,,Bill,"Great display area, advertiser willing to highlight, coffee shop owners Kim & Steve",
36.984991,-121.955482,n,,,y,Michael's on Main,,2591 South Main Street,Soquel,CA,,"Alexis, Michael",,,40,40,,12/5/2014,,,,Bill,,
36.965543,-121.965045,n,blue,blue,y,Modern Life Home & Garden,,925 41st Ave,Santa Cruz,CA,95060,Jill,,,40,40,,,,,,Mick,,
37.044174,-122.026869,y,red,silver,,Mollie's Country Cafe,eating,219 Mt Hermon Rd,Scotts Valley,CA,,,,,160,40,20,40,,,,Mick,,
36.972164,-121.951976,n,silver,silver,,Mr Toots,coffee,231 Esplanade #100,Capitola,CA,,,,,0,0,,,,,,Mick,"poordisplay area, black hole for publications",
36.96875,-121.964971,y,red,blue,y,"New Leaf, Capitola",food,1210 41st Ave,Capitola,CA,,,,,320,80,40,80,,,,Mick,,
36.972668,-122.025679,n,blue,blue,y,"New Leaf, Downtown",food,1134 Pacific Ave,Santa Cruz,CA,,,,,80,80,,,,,,Mick,Will restock,
36.959,-122.046148,y,red,blue,y,"New Leaf, Westside",food,1101 Fair Ave,Santa Cruz,CA,,,,,160,40,20,40,,,,Nelson ,,26
37.468776,-122.428211,y,blue,blue,y,"New Leaf,Westside",food,150 San Mateo Rd,Half Moon Bay,CA,,,,,80,80,0,,,,,Mick,will restock,
36.972448,-122.027465,y,,,,Nickelodean Theatre,,210 Lincoln Street,Santa Cruz,CA,95062,,,,160,40,20,40,,,,Nelson ,,23
36.968413,-121.965069,y,,,y,O'Neil Surf Shop,,1115 41st Avenue,Capitola,CA,,,,,160,,20,,,,,Nelson,,2
36.96405,-122.019973,n,blue,blue,y,O'Neill Boardwalk,surf,400 Beach St,Santa Cruz,CA,,Elfin,,y,54,54,,,,,,CPL,They can't eep in stock,
36.97506,-122.026281,y,red,blue,y,O'Neill Pacific Ave,surf,110 Cooper St #100D,Santa Cruz,CA,,Elfin,,y,160,40,20,120,,2,,Nelson ,Evan,19
36.968107,-121.964959,y,red,blue,y,O'Neill Surf Shop 41st Ave,surf,1115 41st Ave,Capitola,CA,,elfin,,,160,40,20,80,,2,,Nelson ,,1
36.971635,-122.025568,n,blue,blue,y,Old School Shoes,retail,1017 Pacific Ave,Santa Cruz,CA,,,,,40,40,,,,,,Mick,,
36.614633,-121.902623,n,silver,silver,,On the Beach Surf Shop,surf,693 Lighthouse Ave,Monterey,CA,,,,,40,40,,12/8/2014,,,y,Bill,,
36.97513,-122.026393,n,silver,silver,,Pac Wave,surf,1502 Pacific Ave,Santa Cruz,CA,,Ashley / Bubb,,y,40,40,,40,,,,Mick,,
36.980417,-121.908835,y,red,silver,,Pacific Coffee Roasting,coffee,7554 Soquel Dr,Aptos,CA,95003,,,,260,20,40,12/6/2014,,,,Bill,,
36.913953,-121.758161,n,silver,silver,,Pajaro Valley Chamber & Visitor's Center,other,44 Brennan St,Watsonville,CA,,,,,40,40,,12/8/2014,,,Y,Bill,,
36.952084,-121.877042,n,blue,blue,y,Palapas,food,21 Seascape Blvd,aptos,,,,,,40,40,,12/6/2014,,,Y,Bill,,
36.972194,-121.952349,n,blue,blue,y,Paradise Beach Grille,eating,215 Esplanade,Capitola,CA,95010,Kristin / Leslie,,,40,40,,20,,,,Mick,,
36.961317,-122.04397,n,blue,blue,y,Parish Pub,eating,841 Almar Avenue,Santa Cruz,,,Joel,,,54,54,,20,,,,CPL,,
36.999205,-122.022617,n,silver,silver,,Pasatiempo Inn,lodging,555 California 17,Santa Cruz,CA,,,,,40,40,,,,,,Mick,,
36.963366,-121.970377,n,,,,Paula's Restuarant,,3500 Portola Drive,Santa Cruz,CA,,,,,40,40,,40,,,,Nelson,,
36.961128,-122.047588,n,blue,blue,y,Pearson Arrow Surf Shop,surf,2324 Mission St,Santa Cruz,CA,,Tim,423-8286,,40,40,,40,,,,CPL,,
36.964303,-121.964862,y,red,blue,y,"Penny Ice Creamery, Cap.",eating,820 41st Ave,Capitola,CA,,Zach,,y,280,40,40,40,,,,Nelson ,,4
36.974523,-122.027697,y,red,blue,y,"Penny Ice Creamery, SC",eating,913 Cedar St,Santa Cruz,CA,,Evan,,,160,40,20,40,,,,Nelson ,,22
36.971121,-121.98382,n,silver,silver,,Peoples Coffee,coffee,1200 17th Ave #126,Santa Cruz,CA,95062,,,,40,40,,20,,,,Mick,,
36.80302,-121.787123,y,red,silver,,Phils Fish Market,eating,7600 Sandholdt Rd,Moss Landing,CA,,,,,324,84,40,12/6/2014,,,Y,Bill,All Moss Landing stops done on Fridays,
36.972007,-121.951752,y,red,silver,,"Pizza My Heart, Cap 41st",pizza,41st Ave,Capitola,CA,,,,y,200,80,20,120,,2,,Mick,manager Brian,
36.972264,-122.025544,n,silver,silver,,"Pizza my Heart, SC",pizza,1116 Pacific Ave,Santa Cruz,CA,,,,,42,42,,40,,,,Mick,,
36.986298,-122.035074,n,silver,silver,,Plantronics,,345 Encinel Street,Santa Cruz ,CA,95060,,,,80,80,,?,,,,Mick,,
36.963454,-121.964968,n,blue,blue,y,"Pleasure Pizza, Cap",pizza,800 41st Ave,Capitola,CA,,,,,40,40,,20,,,,Mick,,
36.970852,-122.025193,n,blue,blue,y,"Pleasure Pizza, Sc",pizza,1011 Pacific Ave,Santa Cruz,CA,,,,y,0,0,,,,,,Mick,"asked for fewer copies, no display area",
36.975854,-122.028511,y,red,blue,y,Pono Grill,eating,120 Union St,Santa Cruz,,,Timmy,,,160,40,20,80,,,,Nelson ,"owner Timmy, Reef mngr Burt",21
36.97397,-121.888352,,,,,Red Apple,eating,783 Rio Del Mar Boulevard,Aptos,CA,,,,,,,,,,,,Bill,,
36.962988,-121.964896,n,silver,silver,,"Rip Curl, Cap",surf,753 41st Ave,Santa Cruz,CA,,Jordon,454-0360,,40,40,,40,,,,Mick,,
36.96657,-122.040651,y,red,silver,,"Rip Curl, SC",surf,,Santa Cruz,,,,,,160,40,20,60,,2,,Nelson ,,24
36.96373,-121.964586,n,silver,silver,,Rocky's Gym,gym,4135 Portola Dr,Santa Cruz,CA,,Rocky,,,40,40,,20,,,,Mick,asked for just a few to start,
36.963911,-121.965053,n,blue,blue,y,Santa Cruz Boardroom,surf,825 41st Ave,Capitola,,,TC,464-2500,,42,42,,20,,,,Mick,,
36.973902,-122.025903,y,red,silver,,Santa Cruz Roasting Company,coffee,1330 Pacific Ave,Santa Cruz,CA,,,,,160,40,20,80,,2,,Nelson,,17
36.967417,-122.007873,n,blue,blue,y,Seabright Brewerey,beer,519 Seabright Ave #107,Santa Cruz,CA,,Jessica,,,40,40,,20,,,,Mick,,
36.974412,-121.912476,y,,,,Seacliff Market,food,219 State Park Drive,Aptos,CA,,,,,160,40,20,12/6/2014,,,,Bill,,
36.952624,-121.877154,n,silver,silver,,Seascape Market,food,16 Seascape Village,Aptos,CA,,,,,40,40,,12/6/2014,,,,Bill,,
36.951213,-121.876213,y,red,blue,y,Seascape Resort,lodging,1 Seascape Resort Dr,Aptos,CA,95003,Vicky/House keeping,,y,170,50,20,12/6/2014,,1,y,Bill,,
36.983984,-121.957344,n,,,,Serrano Real Estate,,2407 Porter,Soquel,CA,,,,,20,20,,,,,,,,
36.9494,-122.065,n,silver,silver,,Seymore Marine Center,other,100 Shaffer Rd,Santa Cruz,CA,,Teri Sigler,459-3800,,54,54,,,,,0.3,CPL,deliver directly to Teri,
36.987743,-121.972023,,,,,Silver Spur,dining,2650 Soquel Drive,Soquel,CA,,,,,,,,,,,,Mick,,
36.975355,-122.026779,n,blue,blue,y,Sock Shop,retail,1515 Pacific Avenue,Santa Cruz ,CA,,Lauren Graham,429-6101,no,40,40,,40,,,,Mick,Sock Shop would like 2 racks. New location for second round of delivery ,
36.980657,-122.008713,n,silver,silver,,Staff of Life,food,1266 Soquel Ave,Santa Cruz,CA,,,,,40,40,,40,,,,Mick,,
36.95816,-122.017592,n,silver,silver,y - feb,Stagnero Bros.,eating,59 Municipal Wharf,Santa Cruz,CA,,Rob,,,54,54,,40,,,,CPL,"Outside, no rack",
36.963406,-121.96636,n,blue,blue,y,SUDA,eating,3910 Portola Dr,Capitola,CA,,Mike Pitt,,y,40,40,,40,,,,Mick,Delivery done by Tyler Fox,
36.61184,-121.900347,n,,,,Sunshine Free Style,surf,443 Lighthouse Avenue,Monterey,CA,,,,,40,40,,12/8/2014,,,,Bill,,
36.963195,-122,n,blue,blue,y,SUP Stand Up Paddleboard,surf,2216 E Cliff Dr,Santa Cruz,CA,,Sonia,464-7467,,40,40,,20,,,,CPL,,
36.975785,-121.886392,n,silver,silver,,Surf City,coffee,9105 Soquel Dr,Aptos,CA,95003,,,,40,40,,12/6/2014,,,,Mick,,
36.798487,-121.783497,y,red,silver,,"Surf City, Moss Landing",coffee,7990 California 1,Moss Landing,CA,,,,y,162,42,20,12/6/2014,,,y,Bill,,
36.971303,-122.024371,n,silver,silver,,Surfrider Cafe,eating,429 Front St,Santa Cruz,CA,,Sarah/Alex,,,40,40,,,,,,Mick,,
37.060178,-122.006447,y,red,silver,,SV Market,food,14 Victor Square,Scotts Valley,CA,,Ron,,y,160,40,20,40,,,,Mick,,
36.984924,-121.956164,n,silver,silver,,The Bagelry,eating,4763 Soquel Dr,Soquel,CA,95073,,,,40,40,,,,,,Mick,,
36.976864,-122.015946,y,red,silver,,The Buttery,bakery,702 Soquel Ave,Santa Cruz,CA,,Janet,,,200,80,20,80,,2,,Nelson ,owner Janet,14
37.06136,-122.006542,,,,,The Hop Head,beer,18 Victor Square,Scotts Valley,CA,,,,,,,,,,,,Mick,,
36.963076,-122.000814,,,,,The Kind Grind,,2222 East Cliff Drive,Santa Cruz,CA,95062,,,,,,,,,,,,,
36.963111,-122.023031,,,,,The Picnic Basket,food,125 Beach St,Santa Cruz,CA,95060,Zach,,y,160,40,20,40,,,,Nelson ,,
37.010847,-122.193911,n,silver,silver,,The Road House,eating,1 Davenport Ave,Davenport,CA,,Don,426-8801,y,27,27,,,,,0.5,CPL,Place outside in rack,
36.799617,-121.783424,n,silver,silver,,The Whole Enchilada,eating,7990 California 1,Moss Landing,CA,,,,,42,42,,,,,y,Bill,,
36.986304,-121.936454,,,,,Thrive,other,2840 Park Avenue,Soquel,CA,,,,,,,,,,,,Bill,,
36.98438,-121.964994,n,,,y,Thunderbird Real Estate,,2601 41st Avenue,Capitola,CA,,,,,40,40,,20,,,,Mick,,
37.220027,-121.985619,n,silver,silver,,Toll House,other,140 S Santa Cruz Ave,Los Gatos,CA,,,,y,40,40,,,,,,SCWaves,,
36.97735,-122.055975,n,silver,silver,,UCSC Library,other,1156 High Street,Santa Cruz,CA,,,,,120,120,,40,,,,Mick,,
36.987974,-121.95748,n,silver,silver,,Ugly Mug,coffee,4640 Soquel Dr,Soquel,CA,,,,,40,40,,12/6/2014,,,,Bill,,
36.971876,-121.953677,n,silver,silver,,Venetian Village,lodging,1500 Wharf Rd,Capitola,CA,,,,,40,40,,,,,,Mick,,
36.975969,-121.901099,n,,,y,Warmth Company,,140 Post Office Drive,Aptos,CA,,Naomi,,,40,40,,,,,,SCWaves,,
36.959017,-122.047318,n,blue,blue,y,West End Tap & Kitchen,beer,,Santa Cruz,CA,95060,Jeremy,,,54,54,,20,,,,CPL,,
36.96089,-122.044569,y,red,silver,,Westside Coffee,coffee,849 Almar Ave,Santa Cruz,CA,95060,,427-1300,,189,27,27,20,,,,Nelson ,,25
37.011443,-122.195097,n,blue,blue,y,Whale City Bakery,bakery,490 Coast Rd,Davenport,CA,,Chris,423-9009,,27,27,,,,,0.5,CPL,,
36.799747,-121.783334,,,,,Whole Enchilada,,7904 California 1,Moss Landing,CA,,,,,,20,20,12/6/2014,,,,Bill,,
36.798703,-121.783324,,,,,Whole Enchilada Marketplace,,California 1,Moss Landing,CA,,,,,,20,20,12/6/2014,,,,Bill,,
36.97383,-121.964967,y,red,blue,y,"Whole Foods, Cap",food,1710 41st Ave,Capitola,CA,,Michele,,y,300,120,30,80,,,,Mick,will redeliver and check,
36.978679,-122.014354,y,red,blue,y,"Whole Foods, SC",food,,Santa Cruz,CA,95060,,,y,300,120,30,40,,,,Mick,,
36.961249,-122.02152,n,silver,silver,,Woody's Cafe,eating,25 Municipal Wharf,Santa Cruz,CA,95062,Mark Gilbert,,y,40,40,,,,,,Mick,"doesn't usually display, but really impressed by Waves",
36.96826,-121.997932,y,red,silver,,Yahct Harbor Cafe,eating,535 7th Ave,Santa Cruz,CA,95062,Dan,,,160,40,20,40,,,,Nelson ,,8
36.969805,-122.024891,y,red,blue,y,Zachary's,eating,819 Pacific Ave,Santa Cruz,CA,,Tom,,,160,40,20,40,,,,Nelson ,,16
36.971913,-121.952054,y,red,blue,y,Zelda's,eating,203 Esplanade,Capitola,CA,95010,Jill Ealy,,,160,40,20,40,,1,,Bill,,
36.975674,-121.968047,n,blue,blue,y,Zizzo's Coffee,coffee,3555 Clares St,Capitola,CA,,Aaron,,,40,40,,40,,,,Mick,might want crate after remodel,
36.975834,-122.026626,n,blue,blue,y,Zoccolis,eating,1534 Pacific Ave,Santa Cruz,CA,,Patty Zoccoli,,y,40,40,,Rain,,,,Mick,,